#######tabla de simbolos - ArduinoProcessing
#######word token
if keyword
else keyword
for keyword
switch keyword
case keyword
while keyword
do keyword
break keyword
continue keyword
return keyword
goto keyword
; semicolon
( bracket_open
) bracket_close
{ curlybrace_open
} curlybrace_close
// slcomment
/* mlcomment_open
*/ mlcomment_close
#define header
#include header
= assignment_op
+ addition_op
- subtraction_op
* multiplication_op
/ division_op
% modulo_op
== equal_op
!= notequal_op
< less_op
> greater_op
<= lessequal_op
>= greaterequal_op
&& and_op
|| or_op
! not_op
HIGH constant
LOW constant
INPUT constant
OUTPUT constant
INPUT_PULLUP constant
LED_BUILTIN constant
true constant
false constant
int datatipe
pinMode function_dig
digitalWrite function_dig
digitalRead function_dig
analogReference function_ana
analogRead function_ana
analogWrite function_ana
++ increment_op
-- decrement_op


